id,label,depth
446,BWC-037-446@01:47.957,504.266013
447,BWC-037-447@01:48.120,504.266253
448,BWC-037-448@01:48.280,504.266425
449,BWC-037-449@01:48.512,504.266665
450,BWC-037-450@01:48.711,504.266792
451,BWC-037-451@01:48.941,504.266946
452,BWC-037-452@01:49.208,504.267109
453,BWC-037-453@01:50.277,504.267226
454,BWC-037-454@01:50.397,504.267466
455,BWC-037-455@01:50.544,504.267684
456,BWC-037-456@01:50.685,504.267924
457,BWC-037-457@01:50.818,504.268164
458,BWC-037-458@01:50.952,504.268404
459,BWC-037-459@01:51.079,504.268644
460,BWC-037-460@01:51.210,504.268883
461,BWC-037-461@01:51.339,504.269124
462,BWC-037-462@01:51.474,504.269364
463,BWC-037-463@01:51.608,504.269604
464,BWC-037-464@01:51.745,504.269848
465,BWC-037-465@01:51.889,504.270119
466,BWC-037-466@01:52.090,504.270282
467,BWC-037-467@01:52.249,504.270436
468,BWC-037-468@01:52.396,504.270617
469,BWC-037-469@01:52.543,504.270798
470,BWC-037-470@01:52.690,504.271006
471,BWC-037-471@01:52.837,504.27116
472,BWC-037-472@01:55.239,504.271368
473,BWC-037-473@01:55.395,504.271648
474,BWC-037-474@01:56.758,504.271901
475,BWC-037-475@01:56.930,504.2721
476,BWC-037-476@01:57.832,504.272318
477,BWC-037-477@02:01.999,504.272535
478,BWC-037-478@02:10.329,504.272752
479,BWC-037-479@02:10.527,504.272987
480,BWC-037-480@02:10.722,504.273227
481,BWC-037-481@02:10.913,504.273467
482,BWC-037-482@02:11.085,504.273707
483,BWC-037-483@02:11.255,504.273947
484,BWC-037-484@02:11.411,504.274187
485,BWC-037-485@02:11.571,504.274332
486,BWC-037-486@02:11.728,504.274513
487,BWC-037-487@02:11.880,504.274753
488,BWC-037-488@02:12.031,504.274993
489,BWC-037-489@02:12.384,504.275233
490,BWC-037-490@02:12.549,504.275473
491,BWC-037-491@02:12.691,504.275713
492,BWC-037-492@02:12.835,504.275953
493,BWC-037-493@02:12.982,504.276193
494,BWC-037-494@02:13.124,504.276433
495,BWC-037-495@02:13.256,504.276673
496,BWC-037-496@02:13.386,504.276913
497,BWC-037-497@02:13.515,504.277153
498,BWC-037-498@02:13.639,504.277393
499,BWC-037-499@02:13.771,504.277633
500,BWC-037-500@02:13.903,504.277873
501,BWC-037-501@02:14.041,504.278113
502,BWC-037-502@02:14.277,504.278353
503,BWC-037-503@02:14.457,504.278593
504,BWC-037-504@02:14.634,504.278833
505,BWC-037-505@02:14.831,504.279073
506,BWC-037-506@02:15.506,504.279313
507,BWC-037-507@02:15.647,504.279553
508,BWC-037-508@02:17.675,504.279743
509,BWC-037-509@02:19.639,504.27996
510,BWC-037-510@02:19.765,504.280141
511,BWC-037-511@02:19.890,504.280331
512,BWC-037-512@02:20.017,504.280557
513,BWC-037-513@02:20.140,504.280763
514,BWC-037-514@02:20.268,504.28101
515,BWC-037-515@02:20.396,504.281215
516,BWC-037-516@02:20.526,504.281451
517,BWC-037-517@02:20.658,504.281691
518,BWC-037-518@02:20.790,504.281931
519,BWC-037-519@02:20.926,504.282171
520,BWC-037-520@02:21.062,504.282411
521,BWC-037-521@02:21.202,504.282651
522,BWC-037-522@02:21.740,504.28291
523,BWC-037-523@02:21.909,504.28315
524,BWC-037-524@02:22.091,504.28339
525,BWC-037-525@02:22.282,504.28363
526,BWC-037-526@02:22.472,504.28387
527,BWC-037-527@02:23.565,504.28411
528,BWC-037-528@02:23.689,504.28435
529,BWC-037-529@02:23.834,504.28459
530,BWC-037-530@02:23.983,504.28483
531,BWC-037-531@02:24.180,504.28507
532,BWC-037-532@02:24.302,504.28531
533,BWC-037-533@02:24.428,504.28555
534,BWC-037-534@02:24.558,504.28579
535,BWC-037-535@02:24.687,504.28603
536,BWC-037-536@02:24.817,504.28627
537,BWC-037-537@02:24.939,504.286425
538,BWC-037-538@02:25.063,504.286665
539,BWC-037-539@02:25.188,504.286905
540,BWC-037-540@02:25.313,504.287145
541,BWC-037-541@02:25.442,504.287385
542,BWC-037-542@02:25.568,504.287625
543,BWC-037-543@02:25.699,504.287865
544,BWC-037-544@02:25.834,504.288105
545,BWC-037-545@02:25.990,504.288345
546,BWC-037-546@02:26.150,504.288585
547,BWC-037-547@02:28.917,504.288726
548,BWC-037-548@02:29.035,504.288841
549,BWC-037-549@02:29.152,504.289071
550,BWC-037-550@02:29.274,504.289311
551,BWC-037-551@02:29.394,504.289551
552,BWC-037-552@02:29.516,504.289791
553,BWC-037-553@02:29.639,504.290031
554,BWC-037-554@02:29.766,504.290271
555,BWC-037-555@02:29.896,504.290511
556,BWC-037-556@02:30.048,504.290751
557,BWC-037-557@02:30.209,504.290991
558,BWC-037-558@02:30.348,504.291231
559,BWC-037-559@02:30.475,504.291471
560,BWC-037-560@02:30.598,504.291711
561,BWC-037-561@02:30.727,504.291967
562,BWC-037-562@02:30.870,504.292207
563,BWC-037-563@02:31.019,504.292447
564,BWC-037-564@02:41.933,504.292687
565,BWC-037-565@02:42.152,504.292927
566,BWC-037-566@02:42.366,504.293167
567,BWC-037-567@02:42.552,504.293407
568,BWC-037-568@02:42.724,504.293647
569,BWC-037-569@02:42.884,504.293887
570,BWC-037-570@02:43.039,504.294127
571,BWC-037-571@02:43.189,504.294367
572,BWC-037-572@02:43.334,504.294607
573,BWC-037-573@02:43.477,504.294872
574,BWC-037-574@02:43.614,504.295112
575,BWC-037-575@02:43.761,504.295352
576,BWC-037-576@02:43.899,504.295592
577,BWC-037-577@02:44.034,504.295832
578,BWC-037-578@02:44.169,504.296072
579,BWC-037-579@02:44.300,504.296312
580,BWC-037-580@02:44.433,504.296552
581,BWC-037-581@02:44.560,504.296792
582,BWC-037-582@02:44.684,504.297032
583,BWC-037-583@02:44.808,504.297272
584,BWC-037-584@02:44.933,504.297512
585,BWC-037-585@02:45.059,504.297752
586,BWC-037-586@02:45.188,504.297992
587,BWC-037-587@02:45.721,504.298232
588,BWC-037-588@02:45.938,504.298472
589,BWC-037-589@02:46.132,504.298712
590,BWC-037-590@02:46.317,504.298952
591,BWC-037-591@02:46.568,504.299192
592,BWC-037-592@02:46.808,504.299432
593,BWC-037-593@02:47.102,504.299672
594,BWC-037-594@02:47.364,504.299912
595,BWC-037-595@02:47.624,504.300152
596,BWC-037-596@02:47.898,504.300392
597,BWC-037-597@02:48.046,504.300632
598,BWC-037-598@02:48.190,504.300872
599,BWC-037-599@02:48.327,504.301064
600,BWC-037-600@02:51.650,504.301304
601,BWC-037-601@02:51.806,504.301544
602,BWC-037-602@02:51.957,504.301774
603,BWC-037-603@02:52.102,504.302014
604,BWC-037-604@02:52.243,504.302254
605,BWC-037-605@02:52.377,504.302494
606,BWC-037-606@02:52.507,504.302734
607,BWC-037-607@02:52.857,504.302974
608,BWC-037-608@02:53.059,504.303214
609,BWC-037-609@02:53.295,504.303454
610,BWC-037-610@02:53.496,504.303694
611,BWC-037-611@02:53.665,504.303934
612,BWC-037-612@02:53.817,504.304174
613,BWC-037-613@02:53.972,504.304414
614,BWC-037-614@02:54.117,504.304654
615,BWC-037-615@02:54.247,504.304894
616,BWC-037-616@02:54.385,504.305134
617,BWC-037-617@02:54.658,504.305374
618,BWC-037-618@02:55.996,504.30554
619,BWC-037-619@02:56.211,504.30578
620,BWC-037-620@02:56.420,504.30602
621,BWC-037-621@02:56.646,504.30626
622,BWC-037-622@02:56.838,504.3065
623,BWC-037-623@02:57.049,504.30674
624,BWC-037-624@02:57.271,504.30698
625,BWC-037-625@02:57.456,504.30722
626,BWC-037-626@02:57.642,504.30746
627,BWC-037-627@02:57.781,504.3077
628,BWC-037-628@02:57.934,504.30794
629,BWC-037-629@02:58.078,504.308138
630,BWC-037-630@02:58.188,504.308351
631,BWC-037-631@02:59.354,504.308594
632,BWC-037-632@02:59.509,504.308835
633,BWC-037-633@02:59.715,504.309074
634,BWC-037-634@02:59.875,504.309314
635,BWC-037-635@03:00.029,504.309554
636,BWC-037-636@03:00.197,504.309794
637,BWC-037-637@03:00.646,504.310114
638,BWC-037-638@03:00.836,504.310354
639,BWC-037-639@03:01.027,504.310594
640,BWC-037-640@03:01.306,504.310834
641,BWC-037-641@03:01.544,504.311074
642,BWC-037-642@03:01.697,504.311314
643,BWC-037-643@03:01.866,504.311554
644,BWC-037-644@03:02.047,504.311794
645,BWC-037-645@03:02.288,504.312034
646,BWC-037-646@03:02.510,504.312274
647,BWC-037-647@03:02.746,504.312514
648,BWC-037-648@03:02.901,504.312754
649,BWC-037-649@03:04.108,504.312994
650,BWC-037-650@03:04.319,504.313234
651,BWC-037-651@03:04.419,504.313474
652,BWC-037-652@03:04.534,504.313714
653,BWC-037-653@03:24.280,504.313954
654,BWC-037-654@03:24.386,504.314194
655,BWC-037-655@03:24.520,504.314434
656,BWC-037-656@03:24.657,504.314674
657,BWC-037-657@03:24.788,504.314914
658,BWC-037-658@03:27.735,504.315154
659,BWC-037-659@03:27.857,504.315276
660,BWC-037-660@03:27.979,504.315516
661,BWC-037-661@03:28.099,504.315756
662,BWC-037-662@03:28.227,504.315996
663,BWC-037-663@03:31.796,504.316236
664,BWC-037-664@03:31.994,504.316476
665,BWC-037-665@03:32.115,504.316716
